id,text,nested,type,module,complexity
41,"A student shall be able to create a recurring weekly seat reservation for the same room and time slot for up to 4 consecutive weeks, provided all occurrences satisfy booking limits and opening hours.",False,Functional,Booking Core,Conditional
42,"If a student checks in after the reservation start time, the system shall keep the original end time and shall not extend the reservation duration.",True,Functional,Booking Core,Conditional
43,"The system shall display the building, floor, and a link to the room floor plan before a student confirms a booking.",False,Functional,Booking Core,Simple
44,"Administrative staff shall be able to define a cleaning buffer time between bookings for each room (e.g., 10 minutes), and the system shall prevent bookings that violate the buffer.",False,Functional,Admin & Reporting,Simple
45,"When occupancy sensors are available for a room, the system shall automatically record check-in if occupancy is detected within the allowed check-in window.",True,Functional,Search & Discovery,Nested/Conditional
46,The system shall achieve at least 99.5% monthly uptime excluding scheduled maintenance windows announced in advance.,False,Non-functional,Admin & Maintenance,Simple
47,"All public API endpoints shall enforce rate limiting of 60 requests per minute per user; if the limit is exceeded, the system shall return an HTTP 429 error and a retry-after time.",True,Non-functional,Concurrency,Conditional
48,"Unauthenticated users shall be able to view room availability and room features, but the system shall hide personal booking details and user identifiers.",False,Functional,Security & Identity,Simple
49,"Staff actions that change system state (e.g., creating rooms, blocking rooms, marking issues critical) shall require role-based access control and shall be recorded in an immutable audit log.",False,Non-functional,Admin & Reporting,Simple
50,"If a student reports that a booked room is occupied by others at the start time, the system shall create a priority ticket for staff and offer alternative rooms of similar capacity when available.",True,Functional,Waitlist,Nested/Conditional
51,"Before the student can submit a reservation request, the student must be authenticated. When the student submits a reservation request, the system shall approve the reservation if the room is available, so that the student can secure a seat.",True,Functional,Booking Core,Nested/Conditional
52,"Before the student can submit a reservation request, the student must be registered. When the student submits a reservation request, the system shall approve the reservation if the time slot is within opening hours, so that the schedule stays accurate.",True,Functional,Booking Core,Nested/Conditional
53,"Before the student can submit a reservation request, the student must be verified. When the student submits a reservation request, the system shall approve the reservation if the reservation does not overlap another booking, so that double bookings are prevented.",True,Functional,Booking Core,Nested/Conditional
54,"Before the student can submit a reservation request, the student must be in good standing. When the student submits a reservation request, the system shall approve the reservation if the user has no unpaid penalties, so that resources are used efficiently.",True,Functional,Booking Core,Nested/Conditional
55,"Before the student can submit a reservation request, the student must be authorized. When the student submits a reservation request, the system shall approve the reservation if the request is complete, so that the waitlist remains fair.",True,Functional,Booking Core,Nested/Conditional
56,"Before the student can cancel a reservation, the student must be authenticated. When the student cancels a reservation, the system shall confirm the cancellation if the reservation exists, so that the room schedule stays accurate.",True,Functional,Booking Core,Nested/Conditional
57,"Before the student can cancel a reservation, the student must be registered. When the student cancels a reservation, the system shall confirm the cancellation if the cancellation is within 24 hours of the start time, so that unused seats are released.",True,Functional,Booking Core,Nested/Conditional
58,"Before the student can cancel a reservation, the student must be verified. When the student cancels a reservation, the system shall confirm the cancellation if the reservation is active, so that penalties are applied consistently.",True,Functional,Booking Core,Nested/Conditional
59,"Before the student can cancel a reservation, the student must be in good standing. When the student cancels a reservation, the system shall confirm the cancellation if the user is the owner of the reservation, so that administrators can track usage.",True,Functional,Booking Core,Nested/Conditional
60,"Before the student can cancel a reservation, the student must be authorized. When the student cancels a reservation, the system shall confirm the cancellation if the request is complete, so that other students can book the slot.",True,Functional,Booking Core,Nested/Conditional
61,"Before the student can extend a reservation, the student must be authenticated. When the student extends a reservation, the system shall update the end time if the room is available, so that the student can finish the session.",True,Functional,Booking Core,Nested/Conditional
62,"Before the student can extend a reservation, the student must be registered. When the student extends a reservation, the system shall update the end time if the extension does not exceed the maximum duration, so that double bookings are prevented.",True,Functional,Booking Core,Nested/Conditional
63,"Before the student can extend a reservation, the student must be verified. When the student extends a reservation, the system shall update the end time if the reservation is active, so that capacity limits are enforced.",True,Functional,Booking Core,Nested/Conditional
64,"Before the student can extend a reservation, the student must be in good standing. When the student extends a reservation, the system shall update the end time if the time slot is within opening hours, so that the schedule stays accurate.",True,Functional,Booking Core,Nested/Conditional
65,"Before the student can extend a reservation, the student must be authorized. When the student extends a reservation, the system shall update the end time if the request is complete, so that resources are used efficiently.",True,Functional,Booking Core,Nested/Conditional
66,"Before the student can join the waitlist, the student must be authenticated. When the student joins the waitlist, the system shall add the student to the waitlist if the room is full, so that the waitlist remains fair.",True,Functional,Waitlist,Nested/Conditional
67,"Before the student can join the waitlist, the student must be registered. When the student joins the waitlist, the system shall add the student to the waitlist if the time slot is within opening hours, so that cancellations can be reused.",True,Functional,Waitlist,Nested/Conditional
68,"Before the student can join the waitlist, the student must be verified. When the student joins the waitlist, the system shall add the student to the waitlist if the user has no unpaid penalties, so that students can secure a seat.",True,Functional,Waitlist,Nested/Conditional
69,"Before the student can join the waitlist, the student must be in good standing. When the student joins the waitlist, the system shall add the student to the waitlist if the waitlist is open, so that the system tracks demand.",True,Functional,Waitlist,Nested/Conditional
70,"Before the student can join the waitlist, the student must be authorized. When the student joins the waitlist, the system shall add the student to the waitlist if the request is complete, so that resources are used efficiently.",True,Functional,Waitlist,Nested/Conditional
71,"Before the student can check in to the room, the student must be authenticated. When the student checks in to the room, the system shall record the check-in if the reservation is active, so that no-shows are reduced.",True,Functional,Check-in & Penalties,Nested/Conditional
72,"Before the student can check in to the room, the student must be registered. When the student checks in to the room, the system shall record the check-in if the check-in window has started, so that the system records attendance.",True,Functional,Check-in & Penalties,Nested/Conditional
73,"Before the student can check in to the room, the student must be verified. When the student checks in to the room, the system shall record the check-in if the user has a valid ID card, so that penalties are applied fairly.",True,Functional,Check-in & Penalties,Nested/Conditional
74,"Before the student can check in to the room, the student must be in good standing. When the student checks in to the room, the system shall record the check-in if the room is available, so that seat usage is tracked.",True,Functional,Check-in & Penalties,Nested/Conditional
75,"Before the student can check in to the room, the student must be authorized. When the student checks in to the room, the system shall record the check-in if the request is complete, so that resources are used efficiently.",True,Functional,Check-in & Penalties,Nested/Conditional
76,"Before the student can request a room change, the student must be authenticated. When the student requests a room change, the system shall update the room assignment if the room is unavailable, so that the student can continue studying.",True,Functional,Booking Core,Nested/Conditional
77,"Before the student can request a room change, the student must be registered. When the student requests a room change, the system shall update the room assignment if the new room has enough seats, so that the schedule stays accurate.",True,Functional,Booking Core,Nested/Conditional
78,"Before the student can request a room change, the student must be verified. When the student requests a room change, the system shall update the room assignment if the reservation is active, so that capacity limits are enforced.",True,Functional,Booking Core,Nested/Conditional
79,"Before the student can request a room change, the student must be in good standing. When the student requests a room change, the system shall update the room assignment if the request is complete, so that double bookings are prevented.",True,Functional,Booking Core,Nested/Conditional
80,"Before the student can request a room change, the student must be authorized. When the student requests a room change, the system shall update the room assignment if the change is within opening hours, so that resources are used efficiently.",True,Functional,Booking Core,Nested/Conditional
81,"Before the student can report a room issue, the student must be authenticated. When the student reports a room issue, the system shall log the issue if the room is in use, so that issues are resolved quickly.",True,Functional,Admin & Maintenance,Nested/Conditional
82,"Before the student can report a room issue, the student must be registered. When the student reports a room issue, the system shall log the issue if the report includes a description, so that maintenance is scheduled promptly.",True,Functional,Admin & Maintenance,Nested/Conditional
83,"Before the student can report a room issue, the student must be verified. When the student reports a room issue, the system shall log the issue if the request is complete, so that safety risks are reduced.",True,Functional,Admin & Maintenance,Nested/Conditional
84,"Before the student can report a room issue, the student must be in good standing. When the student reports a room issue, the system shall log the issue if the issue is not already reported, so that the system tracks recurring problems.",True,Functional,Admin & Maintenance,Nested/Conditional
85,"Before the student can report a room issue, the student must be authorized. When the student reports a room issue, the system shall log the issue if the room is under maintenance, so that administrators can prioritize repairs.",True,Functional,Admin & Maintenance,Nested/Conditional
86,"Before the student can request a group booking, the student must be authenticated. When the student requests a group booking, the system shall schedule the group booking if the group size does not exceed capacity, so that group study is supported.",True,Functional,Group Booking,Nested/Conditional
87,"Before the student can request a group booking, the student must be registered. When the student requests a group booking, the system shall schedule the group booking if the room is available, so that capacity limits are enforced.",True,Functional,Group Booking,Nested/Conditional
88,"Before the student can request a group booking, the student must be verified. When the student requests a group booking, the system shall schedule the group booking if the request is complete, so that double bookings are prevented.",True,Functional,Group Booking,Nested/Conditional
89,"Before the student can request a group booking, the student must be in good standing. When the student requests a group booking, the system shall schedule the group booking if the group has a designated leader, so that the schedule stays accurate.",True,Functional,Group Booking,Nested/Conditional
90,"Before the student can request a group booking, the student must be authorized. When the student requests a group booking, the system shall schedule the group booking if the time slot is within opening hours, so that resources are used efficiently.",True,Functional,Group Booking,Nested/Conditional
91,"Before the administrator can upload a room photo, the administrator must be authorized. When the administrator uploads a room photo, the system shall store the photo if the room exists, so that room listings are accurate.",True,Functional,Admin & Maintenance,Nested/Conditional
92,"Before the administrator can upload a room photo, the administrator must be authenticated. When the administrator uploads a room photo, the system shall store the photo if the photo meets the size limit, so that students can identify the room.",True,Functional,Admin & Maintenance,Nested/Conditional
93,"Before the administrator can upload a room photo, the administrator must be verified. When the administrator uploads a room photo, the system shall store the photo if the request is complete, so that administrators can update assets.",True,Functional,Admin & Maintenance,Nested/Conditional
94,"Before the administrator can upload a room photo, the administrator must be assigned to the role. When the administrator uploads a room photo, the system shall store the photo if the room is not under maintenance, so that the room catalog stays current.",True,Functional,Admin & Maintenance,Nested/Conditional
95,"Before the administrator can upload a room photo, the administrator must be approved. When the administrator uploads a room photo, the system shall store the photo if the administrator is assigned to the room, so that quality issues are detected.",True,Functional,Admin & Maintenance,Nested/Conditional
96,"Before the administrator can export a usage report, the administrator must be authorized. When the administrator exports a usage report, the system shall generate the report if the reporting period is selected, so that administrators can track usage.",True,Functional,Admin & Reporting,Nested/Conditional
97,"Before the administrator can export a usage report, the administrator must be authenticated. When the administrator exports a usage report, the system shall generate the report if the request is complete, so that capacity planning is supported.",True,Functional,Admin & Reporting,Nested/Conditional
98,"Before the administrator can export a usage report, the administrator must be verified. When the administrator exports a usage report, the system shall generate the report if the administrator has reporting access, so that policy decisions are informed.",True,Functional,Admin & Reporting,Nested/Conditional
99,"Before the administrator can export a usage report, the administrator must be assigned to the role. When the administrator exports a usage report, the system shall generate the report if the system is available, so that peak hours are identified.",True,Functional,Admin & Reporting,Nested/Conditional
100,"Before the administrator can export a usage report, the administrator must be approved. When the administrator exports a usage report, the system shall generate the report if the dataset is up to date, so that resources are allocated efficiently.",True,Functional,Admin & Reporting,Nested/Conditional
