id,text,nested,type,module,complexity,Purpose,Condition,Precondition,Trigger,Action,System_response,Entity,Main_actor
42,"If a student checks in after the reservation start time, the system shall keep the original end time and shall not extend the reservation duration.",True,Functional,Booking Core,Conditional,,"If a student checks in after the reservation start time,",,,shall keep the original end time and shall not extend the reservation duration.,shall keep the original end time and shall not extend the reservation duration.,the system,the system
43,"The system shall display the building, floor, and a link to the room floor plan before a student confirms a booking.",False,Functional,Booking Core,Simple,,display the building,,,"display the building, floor, and a link &-& display the building, floor, and a link to the room floor plan before a student confirms","display the building, floor, and a link to the room floor plan before a student confirms",The system,The system
44,"Administrative staff shall be able to define a cleaning buffer time between bookings for each room (e.g., 10 minutes), and the system shall prevent bookings that violate the buffer.",False,Functional,Admin & Reporting,Simple,,system shall prevent bookings that violate the buffer,,,define a cleaning buffer time,,Administrative staff &-& cleaning buffer time,Administrative staff
45,"When occupancy sensors are available for a room, the system shall automatically record check-in if occupancy is detected within the allowed check-in window.",True,Functional,Search & Discovery,Nested/Conditional,,"When occupancy sensors are available for a room &-& When occupancy sensors are available for a room, &-& if occupancy is detected within the allowed check-in window. &-& occupancy is detected within the allowed check-in window &-& detected within the allowed check-in window",When occupancy sensors are available for a room &-& occupancy is detected within the allowed check-in window,"When occupancy sensors are available for a room &-& When occupancy sensors are available for a room,",shall automatically record check-in if occupancy is detected &-& shall automatically record check-in if occupancy is detected within the allowed check-in window.,shall automatically record check-in if occupancy is detected within the allowed check-in window.,the system &-& record check-in if occupancy is detected,the system
46,The system shall achieve at least 99.5% monthly uptime excluding scheduled maintenance windows announced in advance.,False,Non-functional,Admin & Maintenance,Simple,,at least 99.5% monthly uptime &-& excluding scheduled maintenance windows announced in advance,,,shall achieve at least 99.5% monthly uptime excluding scheduled maintenance windows announced in advance.,shall achieve at least 99.5% monthly uptime excluding scheduled maintenance windows announced in advance.,The system,The system
47,"All public API endpoints shall enforce rate limiting of 60 requests per minute per user; if the limit is exceeded, the system shall return an HTTP 429 error and a retry-after time.",True,Non-functional,Concurrency,Conditional,,"60 requests per minute per user; if the &-& if the limit is exceeded,",,,"shall enforce rate limiting &-& shall enforce rate limiting of 60 requests per minute per user; if the limit is exceeded, the system shall return an HTTP 429 error and a retry-after time.","shall enforce rate limiting of 60 requests per minute per user; if the limit is exceeded, the system shall return an HTTP 429 error and a retry-after time.",rate limiting &-& the system,the system
48,"Unauthenticated users shall be able to view room availability and room features, but the system shall hide personal booking details and user identifiers.",False,Functional,Security & Identity,Simple,,shall hide personal booking details &-& and user identifiers,,,view room availability and room features,,Unauthenticated user &-& room availability and room features,Unauthenticated user
49,"Staff actions that change system state (e.g., creating rooms, blocking rooms, marking issues critical) shall require role-based access control and shall be recorded in an immutable audit log.",False,Non-functional,Admin & Reporting,Simple,,,,,shall require role-based access control and shall be recorded in an immutable audit log.,shall require role-based access control and shall be recorded in an immutable audit log.,system,system
50,"If a student reports that a booked room is occupied by others at the start time, the system shall create a priority ticket for staff and offer alternative rooms of similar capacity when available.",True,Functional,Waitlist,Nested/Conditional,,"If a student reports that a booked room is occupied by others at the start time, &-& student reports that a booked room is occupied by others at the start time",student reports that a booked room is occupied by others at the start time,,create a priority ticket for staff and offer alternative rooms of similar capacity when available.,create a priority ticket for staff and offer alternative rooms of similar capacity when available.,the system,the system
51,"Before the student can submit a reservation request, the student must be authenticated. When the student submits a reservation request, the system shall approve the reservation if the room is available, so that the student can secure a seat.",True,Functional,Booking Core,Nested/Conditional,the student can secure a seat,the room is available,the student must be authenticated,"When the student submits a reservation request,",submits a reservation request,approve the reservation,reservation request &-& reservation &-& the student,the student
52,"Before the student can submit a reservation request, the student must be registered. When the student submits a reservation request, the system shall approve the reservation if the time slot is within opening hours, so that the schedule stays accurate.",True,Functional,Booking Core,Nested/Conditional,the schedule stays accurate,the time slot is within opening hours,the student must be registered,"When the student submits a reservation request,",submits a reservation request,approve the reservation,reservation request &-& reservation &-& the student,the student
53,"Before the student can submit a reservation request, the student must be verified. When the student submits a reservation request, the system shall approve the reservation if the reservation does not overlap another booking, so that double bookings are prevented.",True,Functional,Booking Core,Nested/Conditional,double bookings are prevented,the reservation does not overlap another booking,the student must be verified,"When the student submits a reservation request,",submits a reservation request,approve the reservation,reservation request &-& reservation &-& the student,the student
54,"Before the student can submit a reservation request, the student must be in good standing. When the student submits a reservation request, the system shall approve the reservation if the user has no unpaid penalties, so that resources are used efficiently.",True,Functional,Booking Core,Nested/Conditional,resources are used efficiently,the user has no unpaid penalties,the student must be in good standing,"When the student submits a reservation request,",submits a reservation request,approve the reservation,reservation request &-& reservation &-& the student,the student
55,"Before the student can submit a reservation request, the student must be authorized. When the student submits a reservation request, the system shall approve the reservation if the request is complete, so that the waitlist remains fair.",True,Functional,Booking Core,Nested/Conditional,the waitlist remains fair,the request is complete,the student must be authorized,"When the student submits a reservation request,",submits a reservation request,approve the reservation,reservation request &-& reservation &-& the student,the student
56,"Before the student can cancel a reservation, the student must be authenticated. When the student cancels a reservation, the system shall confirm the cancellation if the reservation exists, so that the room schedule stays accurate.",True,Functional,Booking Core,Nested/Conditional,the room schedule stays accurate,the reservation exists,the student must be authenticated,"When the student cancels a reservation,",cancels a reservation,confirm the cancellation,reservation &-& cancellation &-& the student,the student
57,"Before the student can cancel a reservation, the student must be registered. When the student cancels a reservation, the system shall confirm the cancellation if the cancellation is within 24 hours of the start time, so that unused seats are released.",True,Functional,Booking Core,Nested/Conditional,unused seats are released,the cancellation is within 24 hours of the start time,the student must be registered,"When the student cancels a reservation,",cancels a reservation,confirm the cancellation,reservation &-& cancellation &-& the student,the student
58,"Before the student can cancel a reservation, the student must be verified. When the student cancels a reservation, the system shall confirm the cancellation if the reservation is active, so that penalties are applied consistently.",True,Functional,Booking Core,Nested/Conditional,penalties are applied consistently,the reservation is active,the student must be verified,"When the student cancels a reservation,",cancels a reservation,confirm the cancellation,reservation &-& cancellation &-& the student,the student
59,"Before the student can cancel a reservation, the student must be in good standing. When the student cancels a reservation, the system shall confirm the cancellation if the user is the owner of the reservation, so that administrators can track usage.",True,Functional,Booking Core,Nested/Conditional,administrators can track usage,the user is the owner of the reservation,the student must be in good standing,"When the student cancels a reservation,",cancels a reservation,confirm the cancellation,reservation &-& cancellation &-& the student,the student
60,"Before the student can cancel a reservation, the student must be authorized. When the student cancels a reservation, the system shall confirm the cancellation if the request is complete, so that other students can book the slot.",True,Functional,Booking Core,Nested/Conditional,other students can book the slot,the request is complete,the student must be authorized,"When the student cancels a reservation,",cancels a reservation,confirm the cancellation,reservation &-& cancellation &-& the student,the student
61,"Before the student can extend a reservation, the student must be authenticated. When the student extends a reservation, the system shall update the end time if the room is available, so that the student can finish the session.",True,Functional,Booking Core,Nested/Conditional,the student can finish the session,the room is available,the student must be authenticated,"When the student extends a reservation,",extends a reservation,update the end time,reservation &-& end time &-& the student,the student
62,"Before the student can extend a reservation, the student must be registered. When the student extends a reservation, the system shall update the end time if the extension does not exceed the maximum duration, so that double bookings are prevented.",True,Functional,Booking Core,Nested/Conditional,double bookings are prevented,the extension does not exceed the maximum duration,the student must be registered,"When the student extends a reservation,",extends a reservation,update the end time,reservation &-& end time &-& the student,the student
63,"Before the student can extend a reservation, the student must be verified. When the student extends a reservation, the system shall update the end time if the reservation is active, so that capacity limits are enforced.",True,Functional,Booking Core,Nested/Conditional,capacity limits are enforced,the reservation is active,the student must be verified,"When the student extends a reservation,",extends a reservation,update the end time,reservation &-& end time &-& the student,the student
64,"Before the student can extend a reservation, the student must be in good standing. When the student extends a reservation, the system shall update the end time if the time slot is within opening hours, so that the schedule stays accurate.",True,Functional,Booking Core,Nested/Conditional,the schedule stays accurate,the time slot is within opening hours,the student must be in good standing,"When the student extends a reservation,",extends a reservation,update the end time,reservation &-& end time &-& the student,the student
65,"Before the student can extend a reservation, the student must be authorized. When the student extends a reservation, the system shall update the end time if the request is complete, so that resources are used efficiently.",True,Functional,Booking Core,Nested/Conditional,resources are used efficiently,the request is complete,the student must be authorized,"When the student extends a reservation,",extends a reservation,update the end time,reservation &-& end time &-& the student,the student
66,"Before the student can join the waitlist, the student must be authenticated. When the student joins the waitlist, the system shall add the student to the waitlist if the room is full, so that the waitlist remains fair.",True,Functional,Waitlist,Nested/Conditional,the waitlist remains fair,the room is full,the student must be authenticated,"When the student joins the waitlist,",joins the waitlist,add the student to the waitlist,waitlist &-& the student,the student
67,"Before the student can join the waitlist, the student must be registered. When the student joins the waitlist, the system shall add the student to the waitlist if the time slot is within opening hours, so that cancellations can be reused.",True,Functional,Waitlist,Nested/Conditional,cancellations can be reused,the time slot is within opening hours,the student must be registered,"When the student joins the waitlist,",joins the waitlist,add the student to the waitlist,waitlist &-& the student,the student
68,"Before the student can join the waitlist, the student must be verified. When the student joins the waitlist, the system shall add the student to the waitlist if the user has no unpaid penalties, so that students can secure a seat.",True,Functional,Waitlist,Nested/Conditional,students can secure a seat,the user has no unpaid penalties,the student must be verified,"When the student joins the waitlist,",joins the waitlist,add the student to the waitlist,waitlist &-& the student,the student
69,"Before the student can join the waitlist, the student must be in good standing. When the student joins the waitlist, the system shall add the student to the waitlist if the waitlist is open, so that the system tracks demand.",True,Functional,Waitlist,Nested/Conditional,the system tracks demand,the waitlist is open,the student must be in good standing,"When the student joins the waitlist,",joins the waitlist,add the student to the waitlist,waitlist &-& the student,the student
70,"Before the student can join the waitlist, the student must be authorized. When the student joins the waitlist, the system shall add the student to the waitlist if the request is complete, so that resources are used efficiently.",True,Functional,Waitlist,Nested/Conditional,resources are used efficiently,the request is complete,the student must be authorized,"When the student joins the waitlist,",joins the waitlist,add the student to the waitlist,waitlist &-& the student,the student
71,"Before the student can check in to the room, the student must be authenticated. When the student checks in to the room, the system shall record the check-in if the reservation is active, so that no-shows are reduced.",True,Functional,Check-in & Penalties,Nested/Conditional,no-shows are reduced,the reservation is active,the student must be authenticated,"When the student checks in to the room,",checks in to the room,record the check-in,check-in &-& room &-& the student,the student
72,"Before the student can check in to the room, the student must be registered. When the student checks in to the room, the system shall record the check-in if the check-in window has started, so that the system records attendance.",True,Functional,Check-in & Penalties,Nested/Conditional,the system records attendance,the check-in window has started,the student must be registered,"When the student checks in to the room,",checks in to the room,record the check-in,check-in &-& room &-& the student,the student
73,"Before the student can check in to the room, the student must be verified. When the student checks in to the room, the system shall record the check-in if the user has a valid ID card, so that penalties are applied fairly.",True,Functional,Check-in & Penalties,Nested/Conditional,penalties are applied fairly,the user has a valid ID card,the student must be verified,"When the student checks in to the room,",checks in to the room,record the check-in,check-in &-& room &-& the student,the student
74,"Before the student can check in to the room, the student must be in good standing. When the student checks in to the room, the system shall record the check-in if the room is available, so that seat usage is tracked.",True,Functional,Check-in & Penalties,Nested/Conditional,seat usage is tracked,the room is available,the student must be in good standing,"When the student checks in to the room,",checks in to the room,record the check-in,check-in &-& room &-& the student,the student
75,"Before the student can check in to the room, the student must be authorized. When the student checks in to the room, the system shall record the check-in if the request is complete, so that resources are used efficiently.",True,Functional,Check-in & Penalties,Nested/Conditional,resources are used efficiently,the request is complete,the student must be authorized,"When the student checks in to the room,",checks in to the room,record the check-in,check-in &-& room &-& the student,the student
76,"Before the student can request a room change, the student must be authenticated. When the student requests a room change, the system shall update the room assignment if the room is unavailable, so that the student can continue studying.",True,Functional,Booking Core,Nested/Conditional,the student can continue studying,the room is unavailable,the student must be authenticated,"When the student requests a room change,",requests a room change,update the room assignment,room change &-& room assignment &-& the student,the student
77,"Before the student can request a room change, the student must be registered. When the student requests a room change, the system shall update the room assignment if the new room has enough seats, so that the schedule stays accurate.",True,Functional,Booking Core,Nested/Conditional,the schedule stays accurate,the new room has enough seats,the student must be registered,"When the student requests a room change,",requests a room change,update the room assignment,room change &-& room assignment &-& the student,the student
78,"Before the student can request a room change, the student must be verified. When the student requests a room change, the system shall update the room assignment if the reservation is active, so that capacity limits are enforced.",True,Functional,Booking Core,Nested/Conditional,capacity limits are enforced,the reservation is active,the student must be verified,"When the student requests a room change,",requests a room change,update the room assignment,room change &-& room assignment &-& the student,the student
79,"Before the student can request a room change, the student must be in good standing. When the student requests a room change, the system shall update the room assignment if the request is complete, so that double bookings are prevented.",True,Functional,Booking Core,Nested/Conditional,double bookings are prevented,the request is complete,the student must be in good standing,"When the student requests a room change,",requests a room change,update the room assignment,room change &-& room assignment &-& the student,the student
80,"Before the student can request a room change, the student must be authorized. When the student requests a room change, the system shall update the room assignment if the change is within opening hours, so that resources are used efficiently.",True,Functional,Booking Core,Nested/Conditional,resources are used efficiently,the change is within opening hours,the student must be authorized,"When the student requests a room change,",requests a room change,update the room assignment,room change &-& room assignment &-& the student,the student
81,"Before the student can report a room issue, the student must be authenticated. When the student reports a room issue, the system shall log the issue if the room is in use, so that issues are resolved quickly.",True,Functional,Admin & Maintenance,Nested/Conditional,issues are resolved quickly,the room is in use,the student must be authenticated,"When the student reports a room issue,",reports a room issue,log the issue,room issue &-& issue &-& the student,the student
82,"Before the student can report a room issue, the student must be registered. When the student reports a room issue, the system shall log the issue if the report includes a description, so that maintenance is scheduled promptly.",True,Functional,Admin & Maintenance,Nested/Conditional,maintenance is scheduled promptly,the report includes a description,the student must be registered,"When the student reports a room issue,",reports a room issue,log the issue,room issue &-& issue &-& the student,the student
83,"Before the student can report a room issue, the student must be verified. When the student reports a room issue, the system shall log the issue if the request is complete, so that safety risks are reduced.",True,Functional,Admin & Maintenance,Nested/Conditional,safety risks are reduced,the request is complete,the student must be verified,"When the student reports a room issue,",reports a room issue,log the issue,room issue &-& issue &-& the student,the student
84,"Before the student can report a room issue, the student must be in good standing. When the student reports a room issue, the system shall log the issue if the issue is not already reported, so that the system tracks recurring problems.",True,Functional,Admin & Maintenance,Nested/Conditional,the system tracks recurring problems,the issue is not already reported,the student must be in good standing,"When the student reports a room issue,",reports a room issue,log the issue,room issue &-& issue &-& the student,the student
85,"Before the student can report a room issue, the student must be authorized. When the student reports a room issue, the system shall log the issue if the room is under maintenance, so that administrators can prioritize repairs.",True,Functional,Admin & Maintenance,Nested/Conditional,administrators can prioritize repairs,the room is under maintenance,the student must be authorized,"When the student reports a room issue,",reports a room issue,log the issue,room issue &-& issue &-& the student,the student
86,"Before the student can request a group booking, the student must be authenticated. When the student requests a group booking, the system shall schedule the group booking if the group size does not exceed capacity, so that group study is supported.",True,Functional,Group Booking,Nested/Conditional,group study is supported,the group size does not exceed capacity,the student must be authenticated,"When the student requests a group booking,",requests a group booking,schedule the group booking,group booking &-& the student,the student
87,"Before the student can request a group booking, the student must be registered. When the student requests a group booking, the system shall schedule the group booking if the room is available, so that capacity limits are enforced.",True,Functional,Group Booking,Nested/Conditional,capacity limits are enforced,the room is available,the student must be registered,"When the student requests a group booking,",requests a group booking,schedule the group booking,group booking &-& the student,the student
88,"Before the student can request a group booking, the student must be verified. When the student requests a group booking, the system shall schedule the group booking if the request is complete, so that double bookings are prevented.",True,Functional,Group Booking,Nested/Conditional,double bookings are prevented,the request is complete,the student must be verified,"When the student requests a group booking,",requests a group booking,schedule the group booking,group booking &-& the student,the student
89,"Before the student can request a group booking, the student must be in good standing. When the student requests a group booking, the system shall schedule the group booking if the group has a designated leader, so that the schedule stays accurate.",True,Functional,Group Booking,Nested/Conditional,the schedule stays accurate,the group has a designated leader,the student must be in good standing,"When the student requests a group booking,",requests a group booking,schedule the group booking,group booking &-& the student,the student
90,"Before the student can request a group booking, the student must be authorized. When the student requests a group booking, the system shall schedule the group booking if the time slot is within opening hours, so that resources are used efficiently.",True,Functional,Group Booking,Nested/Conditional,resources are used efficiently,the time slot is within opening hours,the student must be authorized,"When the student requests a group booking,",requests a group booking,schedule the group booking,group booking &-& the student,the student
91,"Before the administrator can upload a room photo, the administrator must be authorized. When the administrator uploads a room photo, the system shall store the photo if the room exists, so that room listings are accurate.",True,Functional,Admin & Maintenance,Nested/Conditional,room listings are accurate,the room exists,the administrator must be authorized,"When the administrator uploads a room photo,",uploads a room photo,store the photo,room photo &-& photo &-& the administrator,the administrator
92,"Before the administrator can upload a room photo, the administrator must be authenticated. When the administrator uploads a room photo, the system shall store the photo if the photo meets the size limit, so that students can identify the room.",True,Functional,Admin & Maintenance,Nested/Conditional,students can identify the room,the photo meets the size limit,the administrator must be authenticated,"When the administrator uploads a room photo,",uploads a room photo,store the photo,room photo &-& photo &-& the administrator,the administrator
93,"Before the administrator can upload a room photo, the administrator must be verified. When the administrator uploads a room photo, the system shall store the photo if the request is complete, so that administrators can update assets.",True,Functional,Admin & Maintenance,Nested/Conditional,administrators can update assets,the request is complete,the administrator must be verified,"When the administrator uploads a room photo,",uploads a room photo,store the photo,room photo &-& photo &-& the administrator,the administrator
94,"Before the administrator can upload a room photo, the administrator must be assigned to the role. When the administrator uploads a room photo, the system shall store the photo if the room is not under maintenance, so that the room catalog stays current.",True,Functional,Admin & Maintenance,Nested/Conditional,the room catalog stays current,the room is not under maintenance,the administrator must be assigned to the role,"When the administrator uploads a room photo,",uploads a room photo,store the photo,room photo &-& photo &-& the administrator,the administrator
95,"Before the administrator can upload a room photo, the administrator must be approved. When the administrator uploads a room photo, the system shall store the photo if the administrator is assigned to the room, so that quality issues are detected.",True,Functional,Admin & Maintenance,Nested/Conditional,quality issues are detected,the administrator is assigned to the room,the administrator must be approved,"When the administrator uploads a room photo,",uploads a room photo,store the photo,room photo &-& photo &-& the administrator,the administrator
96,"Before the administrator can export a usage report, the administrator must be authorized. When the administrator exports a usage report, the system shall generate the report if the reporting period is selected, so that administrators can track usage.",True,Functional,Admin & Reporting,Nested/Conditional,administrators can track usage,the reporting period is selected,the administrator must be authorized,"When the administrator exports a usage report,",exports a usage report,generate the report,usage report &-& report &-& the administrator,the administrator
